Nametag,Japanese,English
Cole,うわっ！！　く、喰ってるよ！！\nCooger: コール、あのペンダントは！！,"Ew... it's eating...\nCooger: Cole, that pendant!"
Cole,この死霊がレイの恋人か！　こんなになってしまうなんて、なんだかレイが可哀想になってきたな‥‥‥。,It must be Ray's girlfriend! I feel sad for him.
Cooger,コール、心配している暇はないぞ！　わしらに気付いたようだ！！,"Cole, no time to worry about that - it's spotted us!"
Cole,なんだかレイに悪いな‥‥‥。\nCooger: コール、これだけは仕方のない事なんだよ‥‥‥。レイのためにもこの方がいいんだよ。,I feel bad for Ray.\nCooger: We had no choice. It's all we could do.
Cole,〔レイの恋人が喰っていた男の死体だ。死霊になるとここまで残酷に人間を喰ってしまうなんて、ドクもとんでもない物を発明したよな‥‥‥〕,(Ray's girlfriend was eating a corpse. We become so horrible when we turn into zombies...)
Cole,男の死体からはさっきの死霊が喰っていた脳ミソが流れ落ちている。この男が居なかったらおれ等は真っ先に襲われていたかもしれないな。,"I think she was attracted to the brains left over from another zombie. If this body hadn't been here, she might've attacked us first."
Cole,この男も家族がいるのだろう‥‥‥可哀想だな。,This man must've had a family... I'm so sorry.
Cole,死霊が喰っていた脳ミソが流れ出ている。警察署でも結構あったけど、これだけはいくら見てても慣れるものではないな。,"The brains that she was eating are coming out of his head. I saw a lot of this at the police station, but it's not something you can get used to."
Cole,この男の人に悪いからあんまり見ない方がいいな。,I feel terrible for him. I'm trying not to look.
Cole,レイの恋人が、こうも変わってしまうなんて信じられないな‥‥‥。,I can't believe what happened to Ray's girlfriend.
Cooger,一度死んでしまったら外見はどんどん腐ってしまう一方だからな。,"Once you turn, your body continues to rot."
Cole,レイの贈ったと思われるペンダントが死霊の首につけられているな。よく取らなかったもんだよ。このペンダントが大切な物だって事を知っていたのかもしれないな。,Ray's girlfriend has that pendant on her neck. I didn't take it with me. It was important to her.
Cole,生前は２０代前半ぐらいか‥‥‥若いのに可哀想だなぁ。,She looks like she was young... maybe early twenties.
Cole,俺の撃った弾が死霊の額に直撃したおかげで、後頭部が見事にふっ飛んでしまったようだ。,The back of her head flew off because the bullet hit her square in the head.
Cole,死霊の頭は完全に割れ、血のこびりついた脳までふっ飛んでいる。ここまで破壊されては二度と生き返る事はないだろう。,"The zombie's head is completely destroyed. In this state, she'll never get back up."
Cole,レイが贈ったというペンダントとは多分これの事だろう。死霊になってからも、ずっと着けていたようだな。,"This might've been the locket Ray gave her. Even like this, she wore it."
Cole,このペンダントをレイに返してやった方がいいかな？,Should we bring the pendant back to Ray?
Cooger,いや、この事に関してはレイには話さない方がいいだろう。話したところでコールが八つ当たりされてしまうよ。,"No, let's not tell Ray. He doesn't need to know about this."
Cooger,コール、中に写真が入ってるようだ。これはロケットみたいだぞ。,"Cole, look. Inside the locket, there's a picture."
Cole,これはレイの写真だ‥‥‥。,It's a picture of Ray.
Cooger,わしがあんな薬さえ作らなければ、こんな罪のない人まで巻き添えをくう事はなかったんだ‥‥‥。,"If I hadn't made that resurrection drug, an innocent person like this would never have been killed..."
Cole,ドク‥‥‥‥‥‥‥‥‥。,Doc...
Cole,このペンダントはこのままにしておいた方がいいだろう。せっかく今まで着けていたんだもんな。,Let's leave the pendant. She was always wearing it so it's only appropriate.
Cole,ここにほうっておくのは可哀想だけど、他の死霊を見つけないといけないしな。,"I almost feel bad leaving, but we have to find the other zombies."
Cole,もう少しこの部屋を調べてみるか‥‥‥。,Let's check this room a little more...
,廊下に出る　<OR>キャンセル,Leave<OR>Cancel
