Nametag,Japanese,English
,ガァアアアアアア！！！\nCole: くそっ‥‥‥やはり不死身‥‥‥か‥‥‥　‥‥‥,GAAAAAAA!!!\nCole:Sh- shit... it didn't even flinch...
,ガァアアアアアア！！！\nCole: くそっ‥‥‥外した‥‥‥か‥‥‥　‥‥‥,GAAAAAA!!!\nCole: No! I missed!!!
,ガァアアアアアア！！！\nCole: うわあああああ！！,GUAAAAAA!!!\nCole: AAAAAAAHHHH!!!
,"　　　コール　２４歳　１６分署にて原因不明の事故死

　　　　　　　　　　ＧＡＭＥ－ＯＶＥＲ",COLE 24 YEARS OLD DIED AT 16TH PRECINCT\n\n GAME OVER
,"　　　　ＮＩＧＨＴＭＡＲＥ　ＣＯＬＬＥＣＴＩＯＮ
　　Ｄｅａｄ　Ｏｆ　Ｔｈｅ　Ｂｒａｉｎ　～死霊の叫び～
　　　　　　　　　ＧＡＭＥ　ＥＮＤ｛｝",NIGHTMARE COLLECTION\n    DEAD OF THE BRAIN    \n GAME OVER {}
,ガァアアアアアア！！！\nCole: うわあああああ！！,GUAAAAAA!!!\nCole: AAAAAAAHHHH!!!
,"　　　コール　２４歳　１６分署にて原因不明の事故死

　　　　　　　　　　ＧＡＭＥ－ＯＶＥＲ",COLE 24 YEARS OLD DIED AT 16TH PRECINCT\n\n GAME OVER
,"　　　　ＮＩＧＨＴＭＡＲＥ　ＣＯＬＬＥＣＴＩＯＮ
　　Ｄｅａｄ　Ｏｆ　Ｔｈｅ　Ｂｒａｉｎ　～死霊の叫び～
　　　　　　　　　ＧＡＭＥ　ＥＮＤ｛｝",NIGHTMARE COLLECTION\n    DEAD OF THE BRAIN    \n GAME OVER {}
,"　　　コール　２４歳　１６分署にて原因不明の事故死

　　　　　　　　　　ＧＡＭＥ－ＯＶＥＲ",COLE 24 YEARS OLD DIED AT 16TH PRECINCT\n\n GAME OVER
,"　　　　ＮＩＧＨＴＭＡＲＥ　ＣＯＬＬＥＣＴＩＯＮ
　　Ｄｅａｄ　Ｏｆ　Ｔｈｅ　Ｂｒａｉｎ　～死霊の叫び～
　　　　　　　　　ＧＡＭＥ　ＥＮＤ｛｝",NIGHTMARE COLLECTION\n    DEAD OF THE BRAIN    \n GAME OVER {}
,"　　　コール　２４歳　１６分署にて原因不明の事故死

　　　　　　　　　　ＧＡＭＥ－ＯＶＥＲ",COLE 24 YEARS OLD DIED AT 16TH PRECINCT\n\n GAME OVER
,"　　　　ＮＩＧＨＴＭＡＲＥ　ＣＯＬＬＥＣＴＩＯＮ
　　Ｄｅａｄ　Ｏｆ　Ｔｈｅ　Ｂｒａｉｎ　～死霊の叫び～
　　　　　　　　　ＧＡＭＥ　ＥＮＤ｛｝<ENDIF>",NIGHTMARE COLLECTION\n    DEAD OF THE BRAIN    \n GAME OVER {}
,コール：さっきの死霊だ！！　目をつぶした筈なのに、まっすぐ俺に向かってきている！！,"Cole: It's the zombie! Trying to get up, but it's coming straight for me!!"
,コール：どうして俺の方に歩いて来るんだ！？　あいつ、俺の位置が判るのか！？　まずい！！　このままでは殺られる！！,"Cole: Why is it walking towards me! It can't see me, right?! But how is it still coming?!!"
,コール：まずい！！　このままでは殺られる！！,Cole: Oh no! I'm gonna get killed!
,コール：ん、あれは何だ！？　あの形、どっかで‥‥‥‥,Cole: W-What? That shape...
,コール：見覚えあるぞ‥‥‥うっ、奴がもう側まで来ている！！,Cole: It's the same zombie... it's already getting close!
,コール：銃だ！！　さっき見えていたのはこのガングリップだったのか！！,Cole: A gun! Why didn't I see it before?!
,コール：弾は‥‥‥くそっ、１発か！！　当たってくれよ！！,Cole: Bullets... shit! One shot! Gotta make this!
Cole,うわっ！！,Uwaaaa!!
Cole,イテテ‥‥‥足元が滑った！！　床の血がまだ固まってなかったのか！？,Ahhh! ...My foot slipped! Was the blood not totally dry?!
Cole,まずいっ、奴だ！！,What do I do?!?!
Cole,クソっ、足を挫いて立つ事が出来ない！！,"Shit, I can't get up in time!"
Cole,うわあああああ！！,Uwaaaa!!
Cole,うわあああああ！！,Uwaaaa!!
Cole,ハアハア‥‥‥やはり脳が弱点だったか。この事をドク達にも知らせてやらないと。,Phew... Is the brain its weak point? I gotta tell Doc about this.
Cole,くそっ‥‥‥やはり不死身‥‥‥か‥‥‥　‥‥‥,Damn... zombie...
Cole,くそっ‥‥‥外した‥‥‥か‥‥‥　‥‥‥,Shit... I missed...
,ＣＯＮＴＩＮＵＥ<OR>ＧＡＭＥ－ＥＮＤ,Continue<OR>Quit
,ＣＯＮＴＩＮＵＥ<OR>ＧＡＭＥ－ＥＮＤ,Continue<OR>Quit
,ＣＯＮＴＩＮＵＥ<OR>ＧＡＭＥ－ＥＮＤ,Continue<OR>Quit
,ＣＯＮＴＩＮＵＥ<OR>ＧＡＭＥ－ＥＮＤ,Continue<OR>Quit
