Nametag,Japanese,English
,シーラ：,Sheila: 
,シーラ：,Sheila: 
Officer Jack,ここに飾られてる絵は？,What are these photos hanging over here?
,クーガー：５秒経過,Cooger: 5 seconds...
,クーガー：１０秒経過,Cooger: 10 seconds...
,クーガー：１５秒経過,Cooger: 15 seconds...
,コール：ドク、やっぱり人間じゃあ無理なんだよ‥‥。,"Cole: Doc, it doesn't work on humans..."
,クーガー：どうやら夢を見ていたようだな‥‥‥。,Cooger: I guess a resurrection drug for humans is just a dream...
Cooger,ええ‥‥‥別に構いませんが‥‥‥。,Sure... I don't really mind...
Officer Jack,ここに飾られてる絵は？,What are these photos hanging over here?
Cooger,有名な学者さん達です。私も科学者の端くれですから、こういった人達に憧れるんですよ。,"They're famous scientists. I'm a bit of a scientist myself, so I look up to these people."
Cooger,コール‥‥‥こちら１６分署の刑事さん。,Kole... This is an officer from the 16th district.
Cole,初めまして、コールです。,"Nice to meet you, I'm Kole."
Officer Jack,今晩はコール君、私はジャック・キースマン。,"Good evening, Kole. My name is Jack Kirshman."
Officer Jack,君達はこんな夜中にここで何をしているんだ？,What are you two doing here at this time of night?
Cole,はい、近々パーティをやろうと思いまして、ドク‥‥いや、教授と相談してた所ですよ。,"We've been thinking of holding a party soon and I've just been discussing it with Doc... I mean, with the Professor."
Officer Jack,なるほど、そうだったんですか。ところでクーガーさん、ここではどんな研究をなさっているんですか？,"I see. By the way, Mr. Cooger, What kind of research are you doing over here?"
Cooger,ガン細胞の研究が主ですが‥‥いつもライバルに先を超されてしまってね、私も歳をとったのかね。,"My main focus is on cancer cell research... But my rivals always beat me to it. I've grown old, you see."
Officer Jack,ん！？　今の声は？,Hm?! What was that voice?
Cooger,裏のノラ猫でしょう。家の裏はゴミ捨て場になってますから、ディナーを食べによく集まるんですよ。,"Must be stray cats from behind the house. There's a garbage dump, so they often gather there for dinner."
Cole,墓地もあるしね、デザート付きですよ。,"There's also a graveyard, so they can have dessert."
Officer Jack,ははは、なるほど。あなた方も誤ってサラダにならないように頼みますよ。,"Ha ha ha, I see. I hope they don't mistake you for the salad."
Officer Jack,それでは私はこれで‥‥‥何かお気付きになった事があったら知らせてください。,"Well, I'll be going, then... If you notice anything, please call and let me know."
Cole,どうもご苦労様です。,Thank you for your hard work.
Officer Jack,ん？　ちょっと待ってください。今の声はあそこの冷蔵庫の辺りから聞こえてきませんでした？,Hm? Wait a second. Didn't you just hear a voice coming from the refrigerator over there?
Cooger,いえ、あの冷蔵庫には薬品しか入っていませんから。,"No, there's nothing but medicine in there."
Officer Jack,ほら、やっぱりあそこから聞こえてきますね。開けてもよろしいですか？,See? I definitely heard something. May I please open it?
Cooger,ええ、別に構いませんが‥‥‥。,"Sure, I don't really mind..."
Cole,〔ドク、ヤバイよ！！　どうして断らないんだよ！？〕,"(Doc, that's bad!! Why didn't you refuse?!)"
Cooger,〔断ったら逆に怪しまれるだろ！？　今までに蘇生薬を打った動物は全て２分以内で絶命するというデータが出ているんだ〕,"(If I did it would've been suspicious, wouldn't it?! Up until now every animal injected with the resurrection drug expired within two mintes.)"
Cole,〔だ、だってあの猫まだ生きてるよ！？　どうするんだよ！？〕,"(B-But, that cat is still alive, isn't it?! What are we going to do?!)"
Officer Jack,ウワァアアアア‥‥‥‥‥‥！！,UWAAAAAAAAA.........!!
Cole,ドク！！　ジャックさんが！！,Doc!! Jack's...!!!
Cooger,‥‥‥‥‥‥‥‥‥‥‥‥。,............
Cole,ドク、どうしたんだよ！！　早くジャックさんを病院に連れていかないと！！,"Doc, what are you doing?! We have to take him to hospital immediately!"
Cooger,もう手遅れだよ、ジャックは喉を掻き切られてしまったよ。頚静脈と‥‥‥頚動脈も見事に切断されているな。,It's too late. Kitty slashed his throat. The jugular vein and the carotid artery are completely severed.
Cole,キティは！？,What about Kitty?!
Cooger,キティは完全に死んでるよ。最後の力でジャックの喉を‥‥‥。,She's completely dead. She used her final strength to slash Jack's...
Cole,ど、どうするんだよ！！　このままじゃ俺達、殺人犯じゃないか！！,W-What are we going to do?!! They're going to say we murdered him!!
Cole,‥‥‥そうだ！　大丈夫だよ、実際に生き返る所を見せてやれば‥‥‥！！,...I know! We'll be fine. We just have to tell them about Kitty coming back to life...!!
Cooger,‥‥‥‥‥‥‥‥‥‥‥‥。,............
Cole,ドク、何とか言えよ！？　こうなったら本当の事を警察に話して‥‥‥。,"Doc, Say something! We have to tell the truth to the police..."
Cooger,お前さんだって蘇生薬の効能を疑ってたろ！！　本当の事を話したところで素直に信じる警察官などがいると思うのかね！？,"Even you doubted that it really works, didn't you?! Do you really think a police officer would just take our word for it?!"
Cooger,頭がおかしくなってるとしか思わないよ。警察が我々に弁明の余地を与えてくれるはずがないだろう！！,They'll think we've gone mad. There's no way the police are going to accept that kind of explanation.
Cooger,やっちゃった相手が警官なんだ。我々の行くつくところは電気椅子か、ガス室でたんまりとシアンの芳香を嗅ぐ事になるだろうな‥‥‥,"A police officer is dead. We'll both be sent to the electric chair, or to inhale some cyanide inside a gas chamber."
Cole,い、いやだよ！　どうすればいいんだよ！！　このまま放っておけばすぐに見つかるぞ！！,F-Fuck that! What should we do?! They're going to discover us in no time!
Cooger,‥‥‥‥‥‥‥‥‥‥‥‥！？,............?!
Cooger,キティはジャックの喉に噛付いたよな？,"Kitty bit Jack's throat, didn't she?"
Cole,そうだけど‥‥‥何か案が？,"She did, yeah... Did you think of something?"
Cooger,あの蘇生薬は素がヴィールスなんだよ。サンプルは精製が充分じゃない。生菌がウヨウヨしているんだよ。,"The resurrection drug is basically a virus. It's far from being refined, and has living microorganisms swarming inside it."
